iter	RMSE
383	78168.29818
384	78096.77667
385	78056.71883
386	77999.3865
387	77938.52568
388	77891.90755
389	77835.39115
390	77766.04278
391	77702.98952
392	77633.59485
393	77580.45012
394	77526.15873
395	77442.51758
396	77376.25819
397	77326.21897
398	77252.25219
399	77200.0384
400	77137.09784
401	77085.82522
402	77057.59671
403	76997.90715
404	76941.7334
405	76861.36887
406	76813.92176
407	76764.08768
408	76716.47029
409	76671.25698
410	76630.78668
411	76589.90525
412	76531.977
413	76469.15939
414	76427.53912
415	76365.88078
416	76327.74515
417	76282.23906
418	76239.48678
419	76167.0064
420	76115.55897
421	76050.83159
422	76009.28455
423	75940.41241
424	75861.64732
425	75802.22306
426	75753.23079
427	75717.54189
428	75665.20032
429	75614.44197
430	75573.73492
431	75534.43223
432	75509.11882
433	75426.93184
434	75372.13899
435	75320.74497
436	75268.97914
437	75195.68201
438	75161.8586
439	75108.14286
440	75051.62758
441	74952.72893
442	74909.16906
443	74861.69739
444	74817.35061
445	74778.58717
446	74731.29859
447	74702.68731
448	74660.75718
449	74604.44246
450	74564.29729
451	74523.78672
452	74488.64082
453	74446.58836
454	74380.75114
455	74318.06805
456	74273.65021
457	74238.73497
458	74204.19656
459	74163.32986
460	74088.66979
461	74040.14849
462	74007.92487
463	73958.64945
464	73926.639
465	73872.7299
466	73812.4013
467	73796.53846
468	73764.707
469	73732.58608
470	73662.87831
471	73629.41458
472	73576.67947
473	73522.64958
474	73456.27559
475	73415.47143
476	73372.27932
477	73347.78365
478	73284.59733
479	73222.37391
480	73182.90378
481	73139.0619
482	73094.83652
483	73061.71794
484	73005.58738
485	72964.49582
486	72900.37008
487	72876.62545
488	72847.85548
489	72816.09392
490	72786.83181
491	72731.14783
492	72692.18875
493	72627.80634
494	72561.65521
495	72534.02766
496	72502.86643
497	72456.2245
498	72408.39046
499	72364.73893
500	72318.38601
501	72293.20757
502	72254.69805
503	72151.21967
504	72095.07266
505	72066.17189
506	72034.99332
507	71998.8188
508	71950.49096
509	71914.04443
510	71876.50811
511	71832.23042
512	71771.46906
513	71717.5088
514	71699.42882
515	71647.29661
516	71598.83147
517	71551.44273
518	71510.32479
519	71478.28743
520	71433.14087
521	71396.38897
522	71347.07247
523	71326.3531
524	71281.40428
525	71247.23391
526	71214.12716
527	71169.63683
528	71101.93467
529	71078.37912
530	71038.59616
531	71002.97331
532	70956.02304
533	70932.39697
534	70884.70274
535	70866.8996
536	70832.15359
537	70781.45424
538	70732.32208
539	70705.77543
540	70680.03422
541	70645.30307
542	70609.72696
543	70560.92022
544	70506.60365
545	70467.04642
546	70434.13307
547	70393.71406
548	70363.66355
549	70282.05802
550	70245.78894
551	70183.15015
552	70158.73185
553	70115.2232
554	70036.6624
555	70006.58185
556	69969.74652
557	69936.34391
558	69883.91517
559	69834.71551
560	69801.30061
561	69790.55212
562	69755.00046
563	69698.2341
564	69658.83597
565	69613.35664
566	69571.32075
567	69549.47533
568	69505.09805
569	69466.14108
570	69431.20404
571	69393.61462
572	69348.79442
573	69298.95923
574	69245.11595
575	69218.17607
576	69189.79062
577	69155.49655
578	69114.47954
579	69051.12871
580	69017.85254
581	68971.01309
582	68933.88715
583	68899.85433
584	68870.67641
585	68844.7633
586	68815.17497
587	68764.37254
588	68741.41294
589	68695.30673
590	68674.61624
591	68652.97123
592	68614.8339
593	68549.62448
594	68517.79448
595	68498.77965
596	68469.91556
597	68450.89316
598	68410.86019
599	68366.04663
600	68336.1278
601	68304.17361
602	68251.22718
603	68211.74101
604	68190.91952
605	68163.7111
606	68136.83468
607	68091.03304
608	68049.601
609	68018.71579
610	67988.13205
611	67928.79736
612	67903.30426
613	67871.19061
614	67837.18652
615	67795.75668
616	67776.54642
617	67732.84598
618	67704.61563
619	67657.27797
620	67624.25089
621	67592.55629
622	67569.11495
623	67550.15479
624	67517.82432
625	67490.90785
626	67454.29235
627	67391.67974
628	67354.19905
629	67326.36953
630	67285.74176
631	67251.25173
632	67233.03191
633	67210.73202
634	67170.36466
635	67140.25669
636	67095.52003
637	67048.95144
638	67017.30303
639	66969.71094
640	66921.78921
641	66879.19307
642	66834.43358
643	66798.93159
644	66764.93808
645	66748.51653
646	66710.04216
647	66667.13525
648	66628.40668
649	66598.76617
650	66577.7838
651	66551.73157
652	66513.74758
653	66482.01866
654	66454.58739
655	66416.51312
656	66385.58156
657	66356.39656
658	66302.32887
659	66275.5226
660	66258.26809
661	66232.82177
662	66215.36404
663	66170.2638
664	66147.12676
665	66120.57025
666	66071.43782
667	66041.51723
668	66012.81034
669	65975.31293
670	65955.08917
671	65913.11507
672	65870.93927
673	65829.93712
674	65802.6665
675	65782.42399
676	65753.68599
677	65733.44138
678	65705.82334
679	65673.76555
680	65626.26296
681	65589.68365
682	65562.14473
683	65527.69792
684	65501.52688
685	65466.81403
686	65443.59763
687	65413.40078
688	65375.73172
689	65359.04787
690	65336.61533
691	65314.0797
692	65275.85898
693	65256.72119
694	65228.6061
695	65192.07203
696	65153.00335
697	65128.37531
698	65095.38271
699	65073.25666
700	65035.92014
701	64981.20228
702	64948.81578
703	64921.16606
704	64891.55632
705	64866.03007
706	64849.62698
707	64813.95281
708	64777.0111
709	64745.37141
710	64722.48249
711	64687.73969
712	64641.71141
713	64606.55069
714	64577.6142
715	64554.15667
716	64521.06548
717	64503.01964
718	64482.26969
719	64463.67343
720	64442.44175
721	64408.88473
722	64366.6507
723	64338.03621
724	64316.77682
725	64295.93867
726	64277.20153
727	64249.86026
728	64216.61415
729	64190.83799
730	64170.15789
731	64140.04526
732	64111.57731
733	64087.95274
734	64065.78615
735	64034.64822
736	64009.91885
737	63971.58972
738	63945.77134
739	63920.93679
740	63890.20568
741	63854.94925
742	63800.11934
743	63761.14303
744	63726.08495
745	63698.47114
746	63673.71373
747	63650.29665
748	63632.63986
749	63613.50532
750	63589.71757
751	63560.46999
752	63534.06801
753	63520.79222
754	63508.34602
755	63493.07364
756	63468.3148
757	63437.10982
758	63402.48662
759	63351.02685
760	63325.65324
761	63290.26736
762	63255.23547
763	63236.91396
764	63222.56665
765	63177.65382
766	63151.44772
767	63133.02199
768	63098.88199
769	63074.82679
770	63049.77151
771	63017.84462
772	62983.07103
773	62959.1668
774	62930.51143
775	62911.19276
776	62894.06006
777	62866.45413
778	62851.12715
779	62823.47337
780	62801.57207
781	62777.48984
782	62751.55906
783	62737.24176
784	62721.86269
785	62689.73817
786	62664.70415
787	62645.20494
788	62623.77692
789	62581.33331
790	62552.12528
791	62516.88338
792	62482.49873
793	62460.54229
794	62426.06447
795	62406.59005
796	62385.03723
797	62355.51558
798	62341.57868
799	62313.80426
800	62285.62873
801	62242.69895
802	62225.26766
803	62205.57346
804	62184.99297
805	62160.63089
806	62134.71237
807	62111.03284
808	62072.94611
809	62052.31127
810	62028.68684
811	61993.14574
812	61970.57369
813	61944.13148
814	61917.70576
815	61883.94306
816	61852.01168
817	61837.40558
818	61789.63955
819	61747.04777
820	61728.15675
821	61704.78044
822	61684.38314
823	61657.3311
824	61639.47305
825	61622.21527
826	61598.58065
827	61575.14772
828	61544.29442
829	61523.89041
830	61499.93442
831	61458.70444
832	61434.83457
833	61421.92718
834	61391.25652
835	61354.01154
836	61330.00942
837	61301.80147
838	61272.49419
839	61215.79874
840	61194.55657
841	61178.1185
842	61152.97916
843	61116.29087
844	61086.98934
845	61051.27661
846	61034.88264
847	61009.78955
848	60991.48741
849	60954.46393
850	60916.49455
851	60881.04897
852	60853.39639
853	60825.92915
854	60809.62153
855	60783.90062
856	60740.88133
857	60713.94199
858	60687.14588
859	60651.57079
860	60624.16234
861	60591.99637
862	60552.82443
863	60520.2442
864	60497.96347
865	60466.8757
866	60436.82445
867	60422.05745
868	60399.35827
869	60378.192
870	60354.28982
871	60335.12171
872	60312.82475
873	60297.73829
874	60271.68196
875	60261.7653
876	60240.09556
877	60194.93844
878	60174.45618
879	60144.44325
880	60128.37393
881	60102.25103
882	60083.56655
883	60063.29264
884	60031.98541
885	59994.52396
886	59977.99575
887	59959.96118
888	59911.99279
889	59888.29881
890	59867.99738
891	59840.9351
892	59815.06619
893	59777.30598
894	59756.87537
895	59727.2167
896	59700.18254
897	59664.06595
898	59633.23442
899	59608.66477
900	59587.96696
901	59563.7596
902	59537.42308
903	59512.92914
904	59478.83385
905	59456.63658
906	59428.53293
907	59417.68146
908	59401.07356
909	59369.89954
910	59351.51783
911	59319.05913
912	59284.07049
913	59256.18997
914	59223.82549
915	59201.51977
916	59190.1708
917	59167.00764
918	59148.70744
919	59128.46385
920	59115.86132
921	59090.29735
922	59062.98895
923	59037.54216
924	59000.77845
925	58976.24279
926	58959.15342
927	58945.47651
928	58920.32885
929	58892.97522
930	58868.89975
931	58834.42009
932	58820.01341
933	58789.33399
934	58765.75755
935	58734.65489
936	58716.25667
937	58708.13797
938	58691.69647
939	58674.73802
940	58649.48733
941	58633.31781
942	58612.11235
943	58578.02864
944	58547.82073
945	58527.85649
946	58517.58382
947	58509.06885
948	58489.26548
949	58464.25864
950	58430.28908
951	58404.67553
952	58380.09323
953	58353.6252
954	58328.75957
955	58302.87907
956	58283.51808
957	58245.85692
958	58216.20471
959	58196.05621
960	58170.93724
961	58156.78994
962	58128.05609
963	58109.95374
964	58095.06805
965	58073.81248
966	58063.89342
967	58042.74612
968	58024.87801
969	58003.57164
970	57978.67757
971	57961.57023
972	57928.57685
973	57883.00943
974	57865.14903
975	57842.88532
976	57819.106
977	57800.59987
978	57784.05069
979	57762.81843
980	57749.2694
981	57722.04079
982	57691.4729
983	57667.89024
984	57642.29778
985	57613.96271
986	57592.93348
987	57572.14576
988	57547.47495
989	57526.52056
990	57510.29132
991	57494.14608
992	57458.75246
993	57433.80039
994	57415.59687
995	57387.1702
996	57359.00537
997	57344.14762
998	57318.93851
999	57288.52402
1000	57254.88522
1001	57221.83109
1002	57211.43329
1003	57188.78487
1004	57172.52807
1005	57154.70657
1006	57137.77107
1007	57121.98856
1008	57103.59876
1009	57089.19976
1010	57071.62273
1011	57049.13131
1012	57040.23622
1013	57028.30926
1014	57007.21562
1015	56987.77747
1016	56963.99267
1017	56933.14743
1018	56914.51123
1019	56899.84067
1020	56882.11851
1021	56861.19497
1022	56830.32227
1023	56811.34798
1024	56790.63823
1025	56775.70283
1026	56759.29472
1027	56728.03287
1028	56706.29799
1029	56686.58321
1030	56668.73862
1031	56646.81852
1032	56613.71107
1033	56594.15134
1034	56567.17283
1035	56550.98138
1036	56525.88206
1037	56507.89848
1038	56482.33736
1039	56469.62068
1040	56448.84167
1041	56414.35925
1042	56384.96939
1043	56373.01074
1044	56349.96822
1045	56335.27736
1046	56316.41985
1047	56300.57437
1048	56282.01946
1049	56263.98608
1050	56214.31645
1051	56190.62972
1052	56173.19668
1053	56148.89361
1054	56126.47501
1055	56108.28204
1056	56077.68411
1057	56065.14794
1058	56054.86585
1059	56033.28214
1060	56012.68102
1061	55998.68299
1062	55959.42464
1063	55944.03274
1064	55931.55169
1065	55904.78118
1066	55887.03187
1067	55866.26713
1068	55829.98863
1069	55785.86684
1070	55762.91087
1071	55744.12207
1072	55723.86921
1073	55712.78064
1074	55693.48813
1075	55677.32079
1076	55649.1994
1077	55627.1591
1078	55600.31211
1079	55582.35945
1080	55564.50313
1081	55537.45924
1082	55523.9429
1083	55505.82883
1084	55489.26728
1085	55465.76263
1086	55452.81959
1087	55438.47454
1088	55420.18661
1089	55394.04169
1090	55365.07444
1091	55340.36986
1092	55314.33048
1093	55298.03606
1094	55276.90681
1095	55261.50734
1096	55250.18389
1097	55229.98823
1098	55200.26217
1099	55183.0653
1100	55156.18435
1101	55135.86749
1102	55112.78681
1103	55097.43459
1104	55072.40229
1105	55058.3635
1106	55046.41176
1107	55029.48051
1108	55014.61578
1109	54983.66529
1110	54958.21322
1111	54944.63396
1112	54913.94
1113	54900.27433
1114	54883.78027
1115	54871.17535
1116	54846.03912
1117	54834.97829
1118	54814.33217
1119	54793.89554
1120	54765.80324
1121	54753.12528
1122	54733.57629
1123	54726.24175
1124	54710.78957
1125	54695.19889
1126	54661.18064
1127	54641.85866
1128	54632.08784
1129	54611.6461
