iter	Accuracy	MultiClass
236	0.7885769231	0.5416687834
237	0.7889423077	0.540617502
238	0.7888461538	0.5402567541
239	0.7891730769	0.539886888
240	0.7894038462	0.5393621194
241	0.7899230769	0.5386308115
242	0.7900769231	0.5382700993
243	0.7906730769	0.5379353952
244	0.7910961538	0.5371701191
245	0.79125	0.5367461009
246	0.7914423077	0.5358802092
247	0.7916730769	0.5349861213
248	0.7913461538	0.5346846625
249	0.7915	0.5342832277
250	0.7917884615	0.5339218794
251	0.7920769231	0.5332974437
252	0.7920384615	0.5329716432
253	0.7926153846	0.5324118243
254	0.7929423077	0.5321029767
255	0.7932692308	0.5312815674
256	0.7934230769	0.5308142419
257	0.7938461538	0.5304191961
258	0.7939615385	0.5298578025
259	0.7943269231	0.5291868493
260	0.7947115385	0.5283212577
261	0.7952307692	0.5275307017
262	0.79525	0.5272205376
263	0.7955769231	0.5269030079
264	0.7956923077	0.5261121361
265	0.7960576923	0.5258714402
266	0.79625	0.5256735901
267	0.7965	0.5253398792
268	0.7969423077	0.5247851727
269	0.7972115385	0.524233053
270	0.7975576923	0.523731662
271	0.7978269231	0.5231827028
272	0.7979423077	0.5228746534
273	0.7977692308	0.522401868
274	0.7981538462	0.5216579775
275	0.7980384615	0.5214358969
276	0.7981730769	0.52095055
277	0.7980576923	0.5206269359
278	0.7983653846	0.5202460153
279	0.7985384615	0.5199011481
280	0.7988461538	0.5195553881
281	0.7994230769	0.5191228559
282	0.8000961538	0.5183015482
283	0.8003269231	0.5179824085
284	0.8006153846	0.5173286181
285	0.8010192308	0.5170064655
286	0.8012115385	0.5166440405
287	0.8015384615	0.51637692
288	0.8018846154	0.5158898426
289	0.8019423077	0.5153731651
290	0.8023653846	0.5147481487
291	0.8021923077	0.5143242744
292	0.8024615385	0.5139601163
293	0.8029423077	0.5133167881
294	0.8030769231	0.5130131548
295	0.8033653846	0.5126744818
296	0.8034038462	0.5120634877
297	0.8035	0.5118494379
298	0.8039807692	0.5111358684
299	0.8043076923	0.5109418582
300	0.8048846154	0.5102936102
301	0.8053076923	0.5097085492
302	0.8050384615	0.50926263
303	0.8051730769	0.5088624268
304	0.8053461538	0.5085588213
305	0.8055576923	0.5081175946
306	0.8059615385	0.5079515736
307	0.8060961538	0.5078081838
308	0.8063846154	0.5073475301
309	0.8066153846	0.507050302
310	0.8069038462	0.5066938803
311	0.8075	0.5059116365
312	0.8076923077	0.5052835883
313	0.8081153846	0.5041550031
314	0.8084615385	0.5036152033
315	0.8083269231	0.5032297415
316	0.8087884615	0.5027687032
317	0.8092115385	0.5021384176
318	0.8092692308	0.5018860976
319	0.8093269231	0.5016425578
320	0.8092884615	0.501425732
321	0.80925	0.5011911316
322	0.8101153846	0.5000987987
323	0.8104615385	0.4996347526
324	0.8106923077	0.4993165057
325	0.8109615385	0.4986780051
326	0.8112692308	0.4981023885
327	0.8111730769	0.4978703861
328	0.8113846154	0.497729194
329	0.8118076923	0.4973578965
330	0.8123653846	0.4966726849
331	0.8126730769	0.4963818615
332	0.8127115385	0.4960842269
333	0.8129423077	0.4955386447
334	0.8134423077	0.4947819905
335	0.8138461538	0.49403872
336	0.8142307692	0.4937253381
337	0.8142884615	0.4935272939
338	0.8143846154	0.4930448446
339	0.8146346154	0.4928656574
340	0.8145769231	0.4924067067
341	0.8147115385	0.4920923939
342	0.8149423077	0.4915288681
343	0.8152692308	0.4910336695
344	0.8153461538	0.4902482065
345	0.8155961538	0.4899493559
346	0.8162692308	0.4891881972
347	0.8161923077	0.4887753262
348	0.8165576923	0.4884755517
349	0.8170769231	0.4881514258
350	0.8173846154	0.4876191894
351	0.8175192308	0.487260121
352	0.8178461538	0.4868198088
353	0.8179807692	0.4867368033
354	0.8180384615	0.4862692284
355	0.8181730769	0.4859789879
356	0.8183269231	0.4857562469
357	0.8185769231	0.485265008
358	0.8186923077	0.4850787335
359	0.819	0.4847619608
360	0.8190769231	0.4844269287
361	0.8194807692	0.4838372602
362	0.8196153846	0.4836000873
363	0.8198076923	0.483388151
364	0.8200384615	0.4830279098
365	0.8200384615	0.4827351394
366	0.8206730769	0.482331743
367	0.8208269231	0.4818123133
368	0.8210769231	0.4815192784
369	0.8213076923	0.4807114967
370	0.8211923077	0.4804596143
371	0.8208846154	0.4800369505
372	0.82125	0.4794415924
373	0.8215	0.4791299069
374	0.8216538462	0.4788839288
375	0.8219423077	0.478670722
376	0.8220961538	0.4784235372
377	0.82225	0.4778773872
378	0.8225192308	0.4773361561
379	0.8229423077	0.4766221868
380	0.8235192308	0.4761686032
381	0.8235384615	0.4757835984
382	0.8231730769	0.4756005309
383	0.8233846154	0.4753354935
384	0.8236538462	0.4748301845
385	0.8237884615	0.4744926367
386	0.8241153846	0.4740361535
387	0.8244230769	0.4736921793
388	0.8246538462	0.4734834701
389	0.8250576923	0.4729280041
390	0.8252115385	0.4723653036
391	0.8255769231	0.4718383774
392	0.8255961538	0.4716964537
393	0.8258076923	0.4714205753
394	0.8261346154	0.471246852
395	0.8261346154	0.4704663028
396	0.8264230769	0.4702132469
397	0.8265961538	0.4699173078
398	0.8267115385	0.4695869049
399	0.8269423077	0.4692940198
400	0.8272884615	0.468812805
401	0.8275961538	0.468515024
402	0.8280192308	0.4680160069
403	0.8281730769	0.4676864575
404	0.8284230769	0.4674075081
405	0.8285769231	0.4670051683
406	0.8285576923	0.4667257233
407	0.8285576923	0.4665644331
408	0.8287307692	0.4661665761
409	0.8290384615	0.4657775876
410	0.8291346154	0.4654498246
411	0.8295	0.4648812734
412	0.8300384615	0.4644721969
413	0.8303653846	0.4640939109
414	0.8305384615	0.4636679104
415	0.83075	0.4635365986
416	0.8309615385	0.4632867432
417	0.8310192308	0.4629289347
418	0.8315192308	0.4624567952
419	0.8312307692	0.4620833163
420	0.8313461538	0.4617116745
421	0.8314807692	0.4614757139
422	0.8314807692	0.4612339314
423	0.8317115385	0.4608187048
424	0.832	0.4605305123
425	0.8322692308	0.4599058854
426	0.8325	0.4595648683
427	0.8325192308	0.4592091333
428	0.8325769231	0.4588678637
429	0.8334038462	0.4578959075
430	0.8337307692	0.4573686157
431	0.8338461538	0.4566622614
432	0.8340576923	0.4563789487
433	0.8344038462	0.4561456241
434	0.8341730769	0.4557499579
435	0.8344807692	0.4555695105
436	0.8347692308	0.4548872704
437	0.8354807692	0.4542236432
438	0.8355961538	0.4538389488
439	0.8358846154	0.4532984197
440	0.8359423077	0.453084936
441	0.8360192308	0.4528002556
442	0.8362884615	0.4524656919
443	0.8364615385	0.4518803092
444	0.8364230769	0.4514928815
445	0.8363653846	0.4511614076
446	0.8366153846	0.4508002045
447	0.8366346154	0.4504423552
448	0.8369038462	0.4499529328
449	0.8372307692	0.4496078863
450	0.8377115385	0.4490902702
451	0.8376538462	0.4487365467
452	0.83825	0.4481187606
453	0.8386923077	0.4472022113
454	0.8390192308	0.446865739
455	0.8391538462	0.4465788717
456	0.8393846154	0.4462818967
457	0.8395384615	0.4460501602
458	0.8396730769	0.4455453502
459	0.8398461538	0.4453912654
460	0.8400576923	0.4449721482
461	0.8403269231	0.4443687046
462	0.8404807692	0.444173502
463	0.841	0.4439041654
464	0.8409230769	0.4436240188
465	0.8407307692	0.4434358806
466	0.8409807692	0.443015659
467	0.8411538462	0.4424318969
468	0.8413461538	0.442188089
469	0.8414423077	0.4419029918
470	0.8416923077	0.4414742738
471	0.8419807692	0.4410190937
472	0.8423653846	0.4406349238
473	0.8423076923	0.4400293707
474	0.8425384615	0.4398798817
475	0.8427884615	0.4396215241
476	0.8426923077	0.4394611567
477	0.8428269231	0.4391747174
478	0.8430769231	0.4388315421
479	0.8431153846	0.4382834784
480	0.8435	0.4377713795
481	0.8438076923	0.4373709815
482	0.8438653846	0.4370670041
483	0.844	0.4369175042
484	0.8443846154	0.4364443327
485	0.8446923077	0.4359850525
486	0.8448269231	0.435639139
487	0.8451346154	0.4353835777
488	0.8453653846	0.4351717251
489	0.8452115385	0.4347634965
490	0.8453846154	0.4344547727
491	0.8454038462	0.4342148413
492	0.84575	0.4339820741
493	0.8460576923	0.4334431783
494	0.8463461538	0.4330375505
495	0.8465769231	0.4327635052
496	0.8465769231	0.4323687387
497	0.8465769231	0.4319039414
498	0.8469038462	0.431666952
499	0.8470192308	0.4314395733
